"Name","Username","UserPrincipalName","Department","Title","Company","Office","Enabled","Manager","Groups","OU"
"Donald Walker","dwalker","dwalker@corp.cyberlab.local","Sales","Sales Director","CyberLab Corporation","Denver, CO - HQ","True","Steven Allen","SG-Sales","OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Sarah Thomas","sthomas","sthomas@corp.cyberlab.local","Sales","Regional Sales Manager","CyberLab Corporation","Austin, TX - Branch","True","Donald Walker","SG-Sales","OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Thomas Harris","tharris","tharris@corp.cyberlab.local","Sales","Account Executive","CyberLab Corporation","Austin, TX - Branch","True","Sarah Thomas","SG-Sales","OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"David Wright","dwright","dwright@corp.cyberlab.local","Sales","Account Executive","CyberLab Corporation","Austin, TX - Branch","True","Sarah Thomas","SG-Sales","OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Christopher Clark","cclark","cclark@corp.cyberlab.local","Sales","Account Executive","CyberLab Corporation","Denver, CO - HQ","True","Sarah Thomas","SG-Sales","OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Christopher Martin","cmartin","cmartin@corp.cyberlab.local","Sales","Sales Development Representative","CyberLab Corporation","Remote","True","Sarah Thomas","SG-Sales","OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Thomas Williams","twilliams","twilliams@corp.cyberlab.local","Sales","Customer Success Manager","CyberLab Corporation","Denver, CO - HQ","True","Donald Walker","SG-Sales","OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Jennifer Miller","jmiller","jmiller@corp.cyberlab.local","Sales","Sales Operations Analyst","CyberLab Corporation","Denver, CO - HQ","True","Donald Walker","SG-Sales","OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Mark Brown","mbrown","mbrown@corp.cyberlab.local","Operations","Operations Director","CyberLab Corporation","Denver, CO - HQ","True","Steven Allen","SG-Operations","OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Donald Lewis","dlewis","dlewis@corp.cyberlab.local","Operations","Operations Manager","CyberLab Corporation","Denver, CO - HQ","True","Mark Brown","SG-Operations","OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"George Martinez","gmartinez","gmartinez@corp.cyberlab.local","Operations","Business Operations Analyst","CyberLab Corporation","Denver, CO - HQ","True","Donald Lewis","SG-Operations","OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Brian Thompson","bthompson","bthompson@corp.cyberlab.local","Operations","Business Operations Analyst","CyberLab Corporation","Denver, CO - HQ","True","Donald Lewis","SG-Operations","OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Matthew Brown","mbrown2","mbrown2@corp.cyberlab.local","Operations","Facilities Coordinator","CyberLab Corporation","Denver, CO - HQ","True","Donald Lewis","SG-Operations","OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Donna Lewis","dlewis2","dlewis2@corp.cyberlab.local","Operations","Procurement Specialist","CyberLab Corporation","Denver, CO - HQ","True","Donald Lewis","SG-Operations","OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"John Baker","jbaker","jbaker@corp.cyberlab.local","Operations","Inventory Coordinator","CyberLab Corporation","Denver, CO - HQ","True","Donald Lewis","SG-Operations","OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
"Emily Rodriguez","erodriguez","erodriguez@corp.cyberlab.local","Operations","Quality Assurance Specialist","CyberLab Corporation","Denver, CO - HQ","True","Mark Brown","SG-Operations","OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local"
