FirstName,LastName,Username,UserPrincipalName,Department,Title,Company,Office,ManagerUsername,Group,OU,Enabled
Carlos,Ramirez,cramirez,cramirez@corp.cyberlab.local,Finance,Finance Director,CyberLab Corporation,"Denver, CO - HQ",chall,SG-Finance,"OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Steven,Hernandez,shernandez,shernandez@corp.cyberlab.local,Finance,Senior Financial Analyst,CyberLab Corporation,"Denver, CO - HQ",cramirez,SG-Finance,"OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Thomas,Taylor,ttaylor,ttaylor@corp.cyberlab.local,Finance,Financial Analyst,CyberLab Corporation,"Denver, CO - HQ",shernandez,SG-Finance,"OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Brian,Baker,bbaker,bbaker@corp.cyberlab.local,Finance,Payroll Analyst,CyberLab Corporation,"Denver, CO - HQ",cramirez,SG-Finance,"OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Carlos,Miller,cmiller,cmiller@corp.cyberlab.local,Finance,Accounts Payable Specialist,CyberLab Corporation,"Denver, CO - HQ",cramirez,SG-Finance,"OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Steven,Hall,shall,shall@corp.cyberlab.local,Finance,Accounts Receivable Specialist,CyberLab Corporation,"Denver, CO - HQ",cramirez,SG-Finance,"OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Kevin,Mitchell,kmitchell,kmitchell@corp.cyberlab.local,Finance,Staff Accountant,CyberLab Corporation,"Denver, CO - HQ",shernandez,SG-Finance,"OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Diego,Clark,dclark,dclark@corp.cyberlab.local,Finance,Staff Accountant,CyberLab Corporation,"Denver, CO - HQ",shernandez,SG-Finance,"OU=Users,OU=Finance,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Anthony,Garcia,agarcia,agarcia@corp.cyberlab.local,Human Resources,HR Director,CyberLab Corporation,"Denver, CO - HQ",sallen,SG-HR,"OU=Users,OU=Human Resources,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Andrew,Anderson,aanderson,aanderson@corp.cyberlab.local,Human Resources,HR Business Partner,CyberLab Corporation,"Denver, CO - HQ",agarcia,SG-HR,"OU=Users,OU=Human Resources,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Mark,Carter,mcarter,mcarter@corp.cyberlab.local,Human Resources,Recruiter,CyberLab Corporation,"Denver, CO - HQ",agarcia,SG-HR,"OU=Users,OU=Human Resources,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Priya,Mitchell,pmitchell,pmitchell@corp.cyberlab.local,Human Resources,Benefits Specialist,CyberLab Corporation,"Denver, CO - HQ",agarcia,SG-HR,"OU=Users,OU=Human Resources,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Fatima,Lee,flee,flee@corp.cyberlab.local,Human Resources,HR Generalist,CyberLab Corporation,"Denver, CO - HQ",aanderson,SG-HR,"OU=Users,OU=Human Resources,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Ashley,Perez,aperez,aperez@corp.cyberlab.local,Human Resources,Training Coordinator,CyberLab Corporation,"Denver, CO - HQ",aanderson,SG-HR,"OU=Users,OU=Human Resources,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Emily,Wright,ewright,ewright@corp.cyberlab.local,Marketing,Marketing Director,CyberLab Corporation,"Denver, CO - HQ",sallen,SG-Marketing,"OU=Users,OU=Marketing,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Elizabeth,Jones,ejones,ejones@corp.cyberlab.local,Marketing,Digital Marketing Manager,CyberLab Corporation,"Denver, CO - HQ",ewright,SG-Marketing,"OU=Users,OU=Marketing,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Steven,Johnson,sjohnson,sjohnson@corp.cyberlab.local,Marketing,SEO Specialist,CyberLab Corporation,Remote,ejones,SG-Marketing,"OU=Users,OU=Marketing,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Wei,Perez,wperez,wperez@corp.cyberlab.local,Marketing,Marketing Coordinator,CyberLab Corporation,"Denver, CO - HQ",ejones,SG-Marketing,"OU=Users,OU=Marketing,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Patricia,Thomas,pthomas,pthomas@corp.cyberlab.local,Marketing,Content Strategist,CyberLab Corporation,"Denver, CO - HQ",ewright,SG-Marketing,"OU=Users,OU=Marketing,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Anthony,Wilson,awilson,awilson@corp.cyberlab.local,Marketing,Graphic Designer,CyberLab Corporation,"Denver, CO - HQ",pthomas,SG-Marketing,"OU=Users,OU=Marketing,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Robert,Martinez,rmartinez,rmartinez@corp.cyberlab.local,Marketing,Marketing Analyst,CyberLab Corporation,"Denver, CO - HQ",ewright,SG-Marketing,"OU=Users,OU=Marketing,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Donald,Walker,dwalker,dwalker@corp.cyberlab.local,Sales,Sales Director,CyberLab Corporation,"Denver, CO - HQ",sallen,SG-Sales,"OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Sarah,Thomas,sthomas,sthomas@corp.cyberlab.local,Sales,Regional Sales Manager,CyberLab Corporation,"Austin, TX - Branch",dwalker,SG-Sales,"OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Thomas,Harris,tharris,tharris@corp.cyberlab.local,Sales,Account Executive,CyberLab Corporation,"Austin, TX - Branch",sthomas,SG-Sales,"OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
David,Wright,dwright,dwright@corp.cyberlab.local,Sales,Account Executive,CyberLab Corporation,"Austin, TX - Branch",sthomas,SG-Sales,"OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Christopher,Clark,cclark,cclark@corp.cyberlab.local,Sales,Account Executive,CyberLab Corporation,"Denver, CO - HQ",sthomas,SG-Sales,"OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Christopher,Martin,cmartin,cmartin@corp.cyberlab.local,Sales,Sales Development Representative,CyberLab Corporation,Remote,sthomas,SG-Sales,"OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Thomas,Williams,twilliams,twilliams@corp.cyberlab.local,Sales,Customer Success Manager,CyberLab Corporation,"Denver, CO - HQ",dwalker,SG-Sales,"OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Jennifer,Miller,jmiller,jmiller@corp.cyberlab.local,Sales,Sales Operations Analyst,CyberLab Corporation,"Denver, CO - HQ",dwalker,SG-Sales,"OU=Users,OU=Sales,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Mark,Brown,mbrown,mbrown@corp.cyberlab.local,Operations,Operations Director,CyberLab Corporation,"Denver, CO - HQ",sallen,SG-Operations,"OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Donald,Lewis,dlewis,dlewis@corp.cyberlab.local,Operations,Operations Manager,CyberLab Corporation,"Denver, CO - HQ",mbrown,SG-Operations,"OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
George,Martinez,gmartinez,gmartinez@corp.cyberlab.local,Operations,Business Operations Analyst,CyberLab Corporation,"Denver, CO - HQ",dlewis,SG-Operations,"OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Brian,Thompson,bthompson,bthompson@corp.cyberlab.local,Operations,Business Operations Analyst,CyberLab Corporation,"Denver, CO - HQ",dlewis,SG-Operations,"OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Matthew,Brown,mbrown2,mbrown2@corp.cyberlab.local,Operations,Facilities Coordinator,CyberLab Corporation,"Denver, CO - HQ",dlewis,SG-Operations,"OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Donna,Lewis,dlewis2,dlewis2@corp.cyberlab.local,Operations,Procurement Specialist,CyberLab Corporation,"Denver, CO - HQ",dlewis,SG-Operations,"OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
John,Baker,jbaker,jbaker@corp.cyberlab.local,Operations,Inventory Coordinator,CyberLab Corporation,"Denver, CO - HQ",dlewis,SG-Operations,"OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
Emily,Rodriguez,erodriguez,erodriguez@corp.cyberlab.local,Operations,Quality Assurance Specialist,CyberLab Corporation,"Denver, CO - HQ",mbrown,SG-Operations,"OU=Users,OU=Operations,OU=Departments,OU=Corporate,DC=corp,DC=cyberlab,DC=local",TRUE
